number,date,establishment,drink,addressShort,image1,image2,addressLong,dateLong
1,2017-01-01,Purple Kow,Jasmine milk tea,SF,,,,January 1
2,2017-01-21,85 Degrees,Black tea,"Daly City, CA",,,,January 21
3,2017-01-21,TeaOne,Okinawa milk tea,SF,,,,January 21
4,2017-01-27,Teaspoon,Rose milk tea,SF,,,,January 27
5,2017-02-03,Cassava Cafe,Earl grey milk tea,"Chicago, IL",https://farm5.staticflickr.com/4588/38336346285_9bd11eaa6e_b.jpg,https://farm5.staticflickr.com/4646/27436514369_92a0d57144_b.jpg,,February 3
6,2017-02-04,Kung Fu Tea,Black milk tea,"Evanston, IL",,,,February 4
7,2017-02-04,i-Tea,Oriental Beauty,SF (Sunset),,,,February 4
8,2017-02-08,Sharetea,Black milk tea,SF (Metreon),,,,February 8
9,2017-02-13,Stir it Up,Jasmine milk tea,"Wailuku, Maui, HI",https://farm5.staticflickr.com/4739/38505051634_17c970eb1a_b.jpg,,,February 13
10,2017-02-18,i-Tea,Jasmine green milk tea,SF (Sunset),https://farm5.staticflickr.com/4685/38505045874_fd8500fff2_b.jpg,,,February 18
11,2017-02-25,Aqua Club Dessert & Beverage,Matcha red bean milk tea,"San Bruno, CA",https://farm5.staticflickr.com/4691/38505051364_e9fd2b3e46_n.jpg,,,February 25
12,2017-03-04,Teaspoon,Earl grey milk tea,SF,https://farm5.staticflickr.com/4633/38505051054_b397738c38_b.jpg,https://farm5.staticflickr.com/4681/38336346175_9c2175e688_b.jpg,,March 4
13,2017-03-10,Thirst-tea,Black milk tea,"Omaha, NE",https://farm5.staticflickr.com/4726/38505045754_03e1cc782b_b.jpg,,,March 10
14,2017-03-11,Teaspoon,Japanese rice milk tea,SF,https://farm5.staticflickr.com/4591/27436513809_f06ce3b5d5_b.jpg,,,March 11
15,2017-03-12,Bubbles,Roast sencha milk tea,SF,https://farm5.staticflickr.com/4639/38505050864_389229162b_b.jpg,,,March 12
16,2017-03-18,TFM,Rose milk tea,SF (Stonestown),https://farm5.staticflickr.com/4681/27436513619_40a1355729_b.jpg,,,March 18
17,2017-03-19,Pekoe,Pekoe special (earl grey milk tea w/ grass jelly and tapioca),"San Jose, CA",https://farm5.staticflickr.com/4587/38505045714_d1b7224577_z.jpg,https://farm5.staticflickr.com/4690/38505050724_824cf0e69c_b.jpg,,March 19
18,2017-03-23,Tbaar,Black milk tea,"Las Vegas, NV",https://farm5.staticflickr.com/4686/38506601594_d7f4b2474e_b.jpg,https://farm5.staticflickr.com/4637/24351971527_f0b4850bb4_b.jpg,,March 23
19,2017-04-04,Asha Tea House,Iced matcha latte,SF,https://farm5.staticflickr.com/4693/27436513349_424db03085_b.jpg,,,April 4
20,2017-04-07,i-Tea,Black milk tea,"Newark, CA",,,,April 7
21,2017-04-09,Cha Express,Handmade black rice milk tea,"San Mateo, CA",https://farm5.staticflickr.com/4733/38336345995_cfe7feff10_b.jpg,https://farm5.staticflickr.com/4727/27436513189_def858b678_z.jpg,,April 9
22,2017-04-10,Sharetea,Honey green tea,SF (Metreon),https://farm5.staticflickr.com/4680/38505045644_81081e0fd8_b.jpg,https://farm5.staticflickr.com/4595/27436513069_4d74fb90d6_z.jpg,,April 10
23,2017-04-11,Home Plate Boba,Thai milk tea,SF,https://farm5.staticflickr.com/4681/24352054427_13004ca608_b.jpg,,,April 11
24,2017-04-21,T4,Earl Grey milk tea,"Millbrae, CA",https://farm5.staticflickr.com/4739/38505050194_7eee884eb3_b.jpg,,,April 21
25,2017-04-23,Boba Guys,Matcha latte,SF (Fillmore),https://farm5.staticflickr.com/4587/38505050084_6e4e582c52_b.jpg,,,April 23
26,2017-04-29,Sencha Tea Bar,Silver Needles (black tea),"Bloomington, MN",https://farm5.staticflickr.com/4729/38505050004_bcc14ca9b9_z.jpg,https://farm5.staticflickr.com/4735/27436512779_e51f5abc3f_b.jpg,,April 29
27,2017-04-30,Eggettes,Jasmine milk tea,SF,https://farm5.staticflickr.com/4692/24352056737_7cd30c9295_b.jpg,,,April 30
28,2017-05-15,Thirst-Tea,Black milk tea,"Omaha, NE",https://farm5.staticflickr.com/4735/24352057277_8c56bacd84_b.jpg,https://farm5.staticflickr.com/4589/24352055527_e1cfe74331_b.jpg,,May 15
29,2017-05-22,Wonderful Foods Co.,Green milk tea,SF,https://farm5.staticflickr.com/4690/38505045524_405e2904a9_b.jpg,,,May 22
30,2017-05-25,7-Eleven,Emial milk tea,"Tokyo, Japan (Akihabara)",https://farm5.staticflickr.com/4646/39186409572_cedbae96e5_b.jpg,,,May 25
31,2017-05-26,Santa Monica Crepes,Matcha milk tea,"Tokyo, Japan (Harajuku)",https://farm5.staticflickr.com/4643/39186409562_8ba382135d_b.jpg,,,May 26
32,2017-06-04,Bubble Market,Matcha milk tea,"Kyoto, Japan (Teramachi)",https://farm5.staticflickr.com/4634/39186409382_cf83fcdde1_b.jpg,,,June 4
33,2017-06-05,i-Tea,Oriental Beauty,SF (Sunset),https://farm5.staticflickr.com/4600/38336345645_3799d0e21b_b.jpg,,,June 5
34,2017-06-05,Purple Kow,Purplekow iced tea (black tea),SF,https://farm5.staticflickr.com/4685/38336349835_b49635a716_b.jpg,,,June 5
35,2017-06-11,Infinitea,Earl grey milk tea,SF,https://farm5.staticflickr.com/4636/38505049454_722fe7536b_b.jpg,,,June 11
36,2017-06-13,Plentea,Thai milk tea,SF,https://farm5.staticflickr.com/4735/38505049364_b61e6953e2_b.jpg,,,June 13
37,2017-06-15,Eggettes,Honey green tea,SF,https://farm5.staticflickr.com/4591/38505049224_afc79abbb0_b.jpg,https://farm5.staticflickr.com/4587/38336349605_4b61b6a6bc_b.jpg,,June 15
38,2017-06-16,i-Tea,Brown rice milk tea,SF (Sunset),https://farm5.staticflickr.com/4684/38505049284_1f3a99f822_b.jpg,,,June 16
39,2017-06-18,i-Tea,Fresh taro milk tea,SF (Sunset),https://farm5.staticflickr.com/4597/38505045394_f9b3541243_z.jpg,,,June 18
40,2017-06-28,TeaOne,Jade pearl milk tea,SF,https://farm5.staticflickr.com/4733/38505049094_0792b162da_b.jpg,,,June 28
41,2017-07-02,i-Tea,Brown rice milk tea,SF (Sunset),https://farm5.staticflickr.com/4646/38336349355_47aa904c25_b.jpg,https://farm5.staticflickr.com/4639/38336345455_aa57ef8194_b.jpg,,July 2
