Date,Establishment,Drink,Short Address,Image,Image 2,Map Address
1/1/2017,Purple Kow,Jasmine milk tea,SF,,,
1/21/2017,85 Degrees,Black tea,"Daly City, CA",,,
1/21/2017,TeaOne,Okinawa milk tea,SF,,,
1/27/2017,Teaspoon,Rose milk tea,SF,,,
2/3/2017,Cassava Cafe,Earl grey milk tea,"Chicago, IL",https://farm5.staticflickr.com/4588/38336346285_9bd11eaa6e_b.jpg,https://farm5.staticflickr.com/4646/27436514369_92a0d57144_b.jpg,
2/4/2017,Kung Fu Tea,Black milk tea,"Evanston, IL",,,
2/4/2017,i-Tea,Oriental Beauty,SF (Sunset),,,
2/8/2017,Sharetea,Black milk tea,SF (Metreon),,,
2/13/2017,Stir it Up,Jasmine milk tea,"Wailuku, Maui, HI",https://farm5.staticflickr.com/4739/38505051634_17c970eb1a_b.jpg,,
2/18/2017,i-Tea,Jasmine green milk tea,SF (Sunset),https://farm5.staticflickr.com/4685/38505045874_fd8500fff2_b.jpg,,
2/25/2017,Aqua Club Dessert & Beverage,Matcha red bean milk tea,"San Bruno, CA",https://farm5.staticflickr.com/4691/38505051364_e9fd2b3e46_n.jpg,,
3/4/2017,Teaspoon,Earl grey milk tea,SF,https://farm5.staticflickr.com/4633/38505051054_b397738c38_b.jpg,https://farm5.staticflickr.com/4681/38336346175_9c2175e688_b.jpg,
3/10/2017,Thirst-tea,Black milk tea,"Omaha, NE",https://farm5.staticflickr.com/4726/38505045754_03e1cc782b_b.jpg,,
3/11/2017,Teaspoon,Japanese rice milk tea,SF,https://farm5.staticflickr.com/4591/27436513809_f06ce3b5d5_b.jpg,,
3/12/2017,Bubbles,Roast sencha milk tea,SF,https://farm5.staticflickr.com/4639/38505050864_389229162b_b.jpg,,
3/18/2017,TFM,Rose milk tea,SF (Stonestown),https://farm5.staticflickr.com/4681/27436513619_40a1355729_b.jpg,,
3/19/2017,Pekoe,Pekoe special (earl grey milk tea w/ grass jelly and tapioca),"San Jose, CA",https://farm5.staticflickr.com/4587/38505045714_d1b7224577_z.jpg,https://farm5.staticflickr.com/4690/38505050724_824cf0e69c_b.jpg,
3/23/2017,Tbaar,Black milk tea,"Las Vegas, NV",https://farm5.staticflickr.com/4686/38506601594_d7f4b2474e_b.jpg,https://farm5.staticflickr.com/4637/24351971527_f0b4850bb4_b.jpg,
4/4/2017,Asha Tea House,Iced matcha latte,SF,https://farm5.staticflickr.com/4693/27436513349_424db03085_b.jpg,,
4/7/2017,i-Tea,Black milk tea,"Newark, CA",,,
4/9/2017,Cha Express,Handmade black rice milk tea,"San Mateo, CA",https://farm5.staticflickr.com/4733/38336345995_cfe7feff10_b.jpg,https://farm5.staticflickr.com/4727/27436513189_def858b678_z.jpg,
4/10/2017,Sharetea,Honey green tea,SF (Metreon),https://farm5.staticflickr.com/4680/38505045644_81081e0fd8_b.jpg,https://farm5.staticflickr.com/4595/27436513069_4d74fb90d6_z.jpg,
4/11/2017,Home Plate Boba,Thai milk tea,SF,https://farm5.staticflickr.com/4681/24352054427_13004ca608_b.jpg,,
4/21/2017,T4,Earl Grey milk tea,"Millbrae, CA",https://farm5.staticflickr.com/4739/38505050194_7eee884eb3_b.jpg,,
4/23/2017,Boba Guys,Matcha latte,SF (Fillmore),https://farm5.staticflickr.com/4587/38505050084_6e4e582c52_b.jpg,,
4/29/2017,Sencha Tea Bar,Silver Needles (black tea),"Bloomington, MN",https://farm5.staticflickr.com/4729/38505050004_bcc14ca9b9_z.jpg,https://farm5.staticflickr.com/4735/27436512779_e51f5abc3f_b.jpg,
4/30/2017,Eggettes,Jasmine milk tea,SF,https://farm5.staticflickr.com/4692/24352056737_7cd30c9295_b.jpg,,
5/15/2017,Thirst-Tea,Black milk tea,"Omaha, NE",https://farm5.staticflickr.com/4735/24352057277_8c56bacd84_b.jpg,https://farm5.staticflickr.com/4589/24352055527_e1cfe74331_b.jpg,
5/22/2017,Wonderful Foods Co.,Green milk tea,SF,https://farm5.staticflickr.com/4690/38505045524_405e2904a9_b.jpg,,
5/25/2017,7-Eleven,Emial milk tea,"Tokyo, Japan (Akihabara)",https://farm5.staticflickr.com/4646/39186409572_cedbae96e5_b.jpg,,
5/26/2017,Santa Monica Crepes,Matcha milk tea,"Tokyo, Japan (Harajuku)",https://farm5.staticflickr.com/4643/39186409562_8ba382135d_b.jpg,,
6/4/2017,Bubble Market,Matcha milk tea,"Kyoto, Japan (Teramachi)",https://farm5.staticflickr.com/4634/39186409382_cf83fcdde1_b.jpg,,
6/5/2017,i-Tea,Oriental Beauty,SF (Sunset),https://farm5.staticflickr.com/4600/38336345645_3799d0e21b_b.jpg,,
6/5/2017,Purple Kow,Purplekow iced tea (black tea),SF,https://farm5.staticflickr.com/4685/38336349835_b49635a716_b.jpg,,
